text,label
"A pesar de algunos inconvenientes menores, la experiencia general fue excelente.",1
"No esperaba mucho, pero me sorprendió gratamente la calidad del servicio.",1
"El lugar es un poco pequeño, pero el ambiente es tan cálido que se compensa.",1
"Al principio no me convencía, pero terminó siendo una de mis mejores compras.",1
"La espera fue larga, aunque valió la pena cada minuto por lo que recibí.",1
"Pensé que sería un desastre, pero resultó ser todo lo contrario, una maravilla.",1
"Es un poco caro, sí, pero cada peso está bien invertido en calidad y atención.",1
"Aunque la comida tardó un poco, el sabor y la presentación lo compensaron totalmente.",1
"Me preocupaba que no cumpliera con mis expectativas, pero superó todas mis dudas.",1
"El servicio al principio parecía lento, pero luego entendí que cuidan cada detalle.",1
"Intenté disfrutarlo, pero cada detalle hacía que la experiencia fuera peor.",0
"No puedo decir que sea horrible, pero definitivamente no volvería.",0
"Tenía expectativas altas y, aunque no fue desastroso, dejó bastante que desear.",0
"No es lo peor que he probado, pero tampoco lo recomendaría.",0
"Parecía un buen producto, pero al poco tiempo empezó a fallar sin motivo.",0
"Podría haber sido una buena experiencia, si no fuera por la pésima atención.",0
"Lo intenté varias veces, pero siempre me decepciona de alguna forma.",0
"El ambiente es lindo, aunque el ruido y la mala organización lo arruinan.",0
"A simple vista parece de calidad, pero al usarlo se notan sus fallas.",0
"Podría haber sido perfecto, si no fuera por los constantes problemas con el servicio.",0
"Un desastre de principio a fin, no vuelvo más.",0
"Definitivamente no volvería, muy mala atención.",0
"Horrible, no entiendo cómo tiene buenas reseñas.",0
"Horrible, no entiendo cómo tiene buenas reseñas.",0
"No me esperaba que fuera tan bueno, me sorprendió.",1
El peor servicio que he recibido en mi vida.,0
"No me gustó para nada, no lo recomiendo.",0
"Se descompuso a los pocos días, muy mala calidad.",0
"Una completa pérdida de dinero, me arrepiento.",0
"Gran relación calidad-precio, me parece una ganga.",1
Intenté contactar para un reclamo y no me respondieron.,0
"Gran relación calidad-precio, me parece una ganga.",1
"El personal fue grosero, pésima experiencia.",0
"Se descompuso a los pocos días, muy mala calidad.",0
El peor servicio que he recibido en mi vida.,0
"Una completa pérdida de dinero, me arrepiento.",0
"La mejor experiencia que tuve en mucho tiempo, todo perfecto.",1
"La calidad deja mucho que desear, parecía usado.",0
"Un desastre de principio a fin, no vuelvo más.",0
"No suelo escribir reseñas, pero esto lo merece.",1
"El sabor era horrible, no lo pude terminar.",0
"Me encantó el packaging, todo muy cuidado y lindo.",1
"No me esperaba que fuera tan bueno, me sorprendió.",1
"Carísimo para lo que ofrecen, una estafa total.",0
"La atención al cliente es excelente, resolvieron mi duda enseguida.",1
"Voy a recomendarlo a todos mis amigos, una maravilla.",1
"Muy buena la atención, te tratan de diez.",1
"No me gustó para nada, no lo recomiendo.",0
"Me entregaron algo distinto a lo que pedí, muy malo.",0
"Carísimo para lo que ofrecen, una estafa total.",0
"No puedo estar más feliz con la compra, súper recomendable.",1
"No suelo escribir reseñas, pero esto lo merece.",1
"Un desastre de principio a fin, no vuelvo más.",0
"No suelo escribir reseñas, pero esto lo merece.",1
"La atención al cliente es excelente, resolvieron mi duda enseguida.",1
"Mejor imposible, nada para criticar.",1
"Carísimo para lo que ofrecen, una estafa total.",0
"Muy decepcionado, esperaba algo mejor.",0
"Un desastre de principio a fin, no vuelvo más.",0
